optimizer,seed,epoch,accuracy,loss,precision,recall,roc_auc,val_accuracy,val_loss,val_precision,val_recall,val_roc_auc
adam,42,1,0.7501014471054077,0.5272495746612549,0.5550724864006042,0.2928134500980377,0.7209792137145996,0.7888257503509521,0.45193997025489807,0.6313363909721375,0.4892857074737549,0.8134803771972656
adam,42,2,0.7829614877700806,0.4516863524913788,0.6234439611434937,0.4594801366329193,0.8115544319152832,0.7821969985961914,0.43820542097091675,0.6086956262588501,0.5,0.8267604112625122
adam,42,3,0.793306291103363,0.438546746969223,0.6461071968078613,0.48853209614753723,0.8243832588195801,0.7840909361839294,0.4336632490158081,0.6000000238418579,0.5571428537368774,0.8321797251701355
adam,42,4,0.7918863892555237,0.43306124210357666,0.6387795209884644,0.4961773753166199,0.8301973342895508,0.7897727489471436,0.42972487211227417,0.6115384697914124,0.5678571462631226,0.8356866836547852
adam,42,5,0.7979716062545776,0.43094968795776367,0.6441774368286133,0.5328746438026428,0.8329130411148071,0.7897727489471436,0.4274841547012329,0.6159999966621399,0.550000011920929,0.837338924407959
adam,42,6,0.800000011920929,0.4260440170764923,0.6513158082962036,0.5298165082931519,0.836556613445282,0.7945075631141663,0.4264833927154541,0.6254979968070984,0.5607143044471741,0.8383997678756714
adam,42,7,0.7959432005882263,0.4239025115966797,0.6438094973564148,0.5168195962905884,0.8380686640739441,0.7935606241226196,0.42510735988616943,0.6230158805847168,0.5607143044471741,0.8389335870742798
adam,42,8,0.7989857792854309,0.4247743785381317,0.6479925513267517,0.5305810570716858,0.8381652235984802,0.7964015007019043,0.42481735348701477,0.6217228174209595,0.5928571224212646,0.8396354913711548
adam,42,9,0.8032454252243042,0.4180157482624054,0.6567717790603638,0.5412843823432922,0.8438059687614441,0.8011363744735718,0.42374980449676514,0.6377952694892883,0.5785714387893677,0.8405467867851257
adam,42,10,0.795537531375885,0.4197985529899597,0.6436781883239746,0.5137614607810974,0.8419983386993408,0.8001893758773804,0.42292094230651855,0.6385542154312134,0.5678571462631226,0.8414764404296875
adam,42,11,0.8073022365570068,0.42091694474220276,0.6717850565910339,0.5351681709289551,0.8421028852462769,0.8001893758773804,0.42353391647338867,0.6282528042793274,0.6035714149475098,0.8416513204574585
adam,42,12,0.8024340867996216,0.4188409149646759,0.6566604375839233,0.5351681709289551,0.8434700965881348,0.8001893758773804,0.42153289914131165,0.6363636255264282,0.574999988079071,0.8423117399215698
adam,42,13,0.8044624924659729,0.4152020514011383,0.6647509336471558,0.5305810570716858,0.8469597101211548,0.8001893758773804,0.42144250869750977,0.6385542154312134,0.5678571462631226,0.8425004482269287
adam,42,14,0.8024340867996216,0.4142756760120392,0.6611968874931335,0.5237002968788147,0.8464670181274414,0.8001893758773804,0.42116689682006836,0.6374502182006836,0.5714285969734192,0.8432460427284241
adam,42,15,0.8075050711631775,0.41601407527923584,0.6727622747421265,0.5344036817550659,0.8463966846466064,0.8020833134651184,0.42066678404808044,0.6414342522621155,0.574999988079071,0.8429446220397949
adam,42,16,0.8085192441940308,0.4132031202316284,0.6739961504936218,0.53899085521698,0.8483691215515137,0.8020833134651184,0.4188821017742157,0.6437246799468994,0.5678571462631226,0.8448039293289185
adam,42,17,0.8093306422233582,0.4134241044521332,0.6749049425125122,0.5428134799003601,0.8485037684440613,0.8058711886405945,0.42073890566825867,0.6518218517303467,0.574999988079071,0.8430849313735962
adam,42,18,0.8101419806480408,0.41040846705436707,0.6830708384513855,0.5305810570716858,0.8504869937896729,0.8039772510528564,0.41916537284851074,0.6527196764945984,0.5571428537368774,0.8439962267875671
adam,42,19,0.8058823347091675,0.41331401467323303,0.6695652008056641,0.5298165082931519,0.8489396572113037,0.8058711886405945,0.41899338364601135,0.650602400302887,0.5785714387893677,0.844744086265564
adam,42,20,0.8091278076171875,0.4141068756580353,0.672950029373169,0.5458715558052063,0.8484399914741516,0.8001893758773804,0.41918304562568665,0.6455696225166321,0.5464285612106323,0.8437246680259705
adam,42,21,0.8052738308906555,0.4126110374927521,0.6695906519889832,0.5252293348312378,0.8502814769744873,0.8001893758773804,0.4201362431049347,0.6431535482406616,0.5535714030265808,0.8434094190597534
adam,42,22,0.8099391460418701,0.41339418292045593,0.6795740723609924,0.536697268486023,0.8485541939735413,0.7945075631141663,0.42002856731414795,0.6340425610542297,0.5321428775787354,0.8431838750839233
adam,42,23,0.8050709962844849,0.4101995825767517,0.666347086429596,0.531345546245575,0.8508505821228027,0.7973484992980957,0.4190397262573242,0.6460176706314087,0.5214285850524902,0.8440974950790405
adam,42,24,0.8117647171020508,0.40882229804992676,0.6782364249229431,0.5527523159980774,0.8523217439651489,0.8020833134651184,0.41947320103645325,0.6536796689033508,0.5392857193946838,0.8437960147857666
adam,42,25,0.8060851693153381,0.4093489646911621,0.6692307591438293,0.5321100950241089,0.8515163660049438,0.8001893758773804,0.4192282259464264,0.6480686664581299,0.5392857193946838,0.8441158533096313
adam,42,26,0.8111562132835388,0.4091537594795227,0.6810758709907532,0.5420489311218262,0.8522452116012573,0.8001893758773804,0.4198719561100006,0.649350643157959,0.5357142686843872,0.8436832427978516
adam,123,1,0.7186612486839294,0.5362252593040466,0.45496007800102234,0.30504587292671204,0.7099611759185791,0.7784090638160706,0.44896167516708374,0.6161616444587708,0.4357142746448517,0.8179813623428345
adam,123,2,0.7866125702857971,0.4483095407485962,0.6287726163864136,0.4778287410736084,0.8151642084121704,0.7869318127632141,0.43698805570602417,0.6095617413520813,0.5464285612106323,0.8280144929885864
adam,123,3,0.7912778854370117,0.44187867641448975,0.6309859156608582,0.5137614607810974,0.8222532272338867,0.7973484992980957,0.4327376186847687,0.6330645084381104,0.5607143044471741,0.8315399289131165
adam,123,4,0.7912778854370117,0.43427443504333496,0.6295264363288879,0.5183486342430115,0.8294745683670044,0.7926136255264282,0.43077176809310913,0.6309012770652771,0.5249999761581421,0.8338066339492798
adam,123,5,0.795537531375885,0.426604688167572,0.6391465663909912,0.5267584323883057,0.8365057706832886,0.7964015007019043,0.4278385043144226,0.6315789222717285,0.5571428537368774,0.8363678455352783
adam,123,6,0.797768771648407,0.42791518568992615,0.6441149115562439,0.531345546245575,0.8357927799224854,0.7945075631141663,0.42537933588027954,0.6317991614341736,0.5392857193946838,0.8390877842903137
adam,123,7,0.8016226887702942,0.4254022538661957,0.6539179086685181,0.535932719707489,0.8383449912071228,0.7973484992980957,0.4245591163635254,0.6386554837226868,0.5428571701049805,0.8394514322280884
adam,123,8,0.8006085157394409,0.42801615595817566,0.6534466743469238,0.5290519595146179,0.836268424987793,0.7954545617103577,0.42378556728363037,0.6355932354927063,0.5357142686843872,0.8399162292480469
adam,123,9,0.8024340867996216,0.4211603105068207,0.6557835936546326,0.5374617576599121,0.8417767286300659,0.7945075631141663,0.4223098158836365,0.6307054162025452,0.5428571701049805,0.8415731191635132
adam,123,10,0.8024340867996216,0.42341527342796326,0.6611968874931335,0.5237002968788147,0.83948814868927,0.7916666865348816,0.4236493408679962,0.6260504126548767,0.5321428775787354,0.8407907485961914
adam,123,11,0.8016226887702942,0.41863754391670227,0.655075192451477,0.5328746438026428,0.8438427448272705,0.7973484992980957,0.42286741733551025,0.6447368264198303,0.5249999761581421,0.8415271043777466
adam,123,12,0.8034482598304749,0.4197100102901459,0.6597549319267273,0.5351681709289551,0.8429782390594482,0.8001893758773804,0.42219799757003784,0.6519823670387268,0.5285714268684387,0.8416098952293396
adam,123,13,0.8004056811332703,0.4173760712146759,0.6537001729011536,0.5267584323883057,0.845039963722229,0.7982954382896423,0.4230256676673889,0.648888885974884,0.5214285850524902,0.8407009243965149
adam,123,14,0.8018255829811096,0.4190506339073181,0.6556914448738098,0.5328746438026428,0.8433454036712646,0.8030303120613098,0.42260831594467163,0.6607142686843872,0.5285714268684387,0.8409425616264343
adam,123,15,0.8056795001029968,0.4140532314777374,0.6663498282432556,0.535932719707489,0.8471627235412598,0.8011363744735718,0.4234166145324707,0.6576576828956604,0.5214285850524902,0.840919554233551
adam,123,16,0.8101419806480408,0.41223275661468506,0.6738317608833313,0.5512232184410095,0.8487082123756409,0.8039772510528564,0.42276936769485474,0.6651583909988403,0.5249999761581421,0.8414396047592163
adam,123,17,0.8038539290428162,0.41725271940231323,0.6669931411743164,0.5206422209739685,0.844963788986206,0.7992424368858337,0.42196741700172424,0.6440678238868713,0.5428571701049805,0.8420401811599731
adam,123,18,0.8077079057693481,0.4132348895072937,0.6744186282157898,0.5321100950241089,0.84804368019104,0.7982954382896423,0.4222439229488373,0.6437768340110779,0.5357142686843872,0.8418699502944946
adam,123,19,0.8052738308906555,0.41572147607803345,0.6641509532928467,0.538226306438446,0.8454678058624268,0.8039772510528564,0.42140522599220276,0.6593886613845825,0.5392857193946838,0.8421645164489746
adam,123,20,0.8093306422233582,0.40881744027137756,0.6762452125549316,0.5397553443908691,0.8516328930854797,0.8020833134651184,0.42219117283821106,0.651063859462738,0.5464285612106323,0.842056393623352
adam,123,21,0.8048681616783142,0.4121779799461365,0.6712871193885803,0.5183486342430115,0.8485844135284424,0.8039772510528564,0.420380562543869,0.6622222065925598,0.5321428775787354,0.8431838750839233
adam,123,22,0.8121703863143921,0.4096223711967468,0.6812143921852112,0.5489296913146973,0.8510839939117432,0.8087121248245239,0.4203437268733978,0.6822429895401001,0.5214285850524902,0.8430803418159485
adam,123,23,0.8109533190727234,0.4065737724304199,0.6804222464561462,0.5420489311218262,0.8541480302810669,0.8087121248245239,0.4198751747608185,0.6805555820465088,0.5249999761581421,0.8434485197067261
adam,123,24,0.8081135749816895,0.4112851619720459,0.6757281422615051,0.5321100950241089,0.8503449559211731,0.8039772510528564,0.4206181466579437,0.669767439365387,0.5142857432365417,0.8429538607597351
