optimizer,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,best_val_loss_mean,best_val_loss_std,epochs_run_mean,epochs_run_std
adam,0.8024621212121212,0.005936525764642968,0.6477193898113621,0.024014259227722167,0.5635714285714286,0.027362830441968484,0.6018953696556444,0.008399110296871817,0.8455729933726067,0.0016059441104090278,0.4182512879371643,0.0021096463879181505,31.8,5.263078946776307
rmsprop,0.8007575757575758,0.006231319650137169,0.6470977392949762,0.021350130323826898,0.55,0.027316175965675614,0.593952519317612,0.012102986025586519,0.8433307253313697,0.0011084830581552835,0.42080490589141845,0.0024522948673382874,33.6,7.829431652425353
sgd,0.8043560606060606,0.001963678158459066,0.6476762873016659,0.010138767341112525,0.5764285714285714,0.031903873477324686,0.6094042736936948,0.013533831318772322,0.8446506811487481,0.0014448885190288775,0.4196494102478027,0.002346304475348959,97.6,32.385181796618035
